|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| Date       | Open               | High               | Low                | Close              | Volume    |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-02 | 24.718170500399545 | 24.729266505118662 |  23.82166783410134 | 24.261043548583984 | 212818400 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-05 |  24.03025756400133 | 24.110144047673025 | 23.391167387640213 |  23.57756805419922 | 257142000 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-06 | 23.641917940397683 | 23.839414583501295 | 23.218075726605587 | 23.579784393310547 | 263188400 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-07 | 23.788387320592424 |  24.01029392504949 |  23.67743401836389 | 23.910436630249023 | 160423600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-08 | 24.238861339269892 | 24.886828276492317 |   24.1212494061528 | 24.829132080078125 | 237458000 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-09 | 25.002208467845808 | 25.130914662284695 |  24.45631860417092 | 24.855751037597656 | 214798000 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-12 |  24.98668242928727 | 24.993339356300723 |   24.1434383783279 | 24.243295669555664 | 198603200 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-13 |  24.72705053894741 |  25.03106316625113 |  24.16784669635183 |  24.45854377746582 | 268367600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-14 | 24.196691725347986 | 24.518455563065594 |  24.07686197869801 | 24.365341186523438 | 195826400 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-15 |  24.40973041353647 | 24.423044270179595 |  23.66856304817184 |  23.70406723022461 | 240056000 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-16 |  23.75066336426571 | 23.872712672689556 |  23.34457387588783 | 23.519880294799805 | 314053200 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
| 2015-01-20 | 23.930405855410857 | 24.181161385664875 | 23.633051837426528 |  24.12568473815918 | 199599600 |
|------------|--------------------|--------------------|--------------------|--------------------|-----------|
